,coef,std err,t,P>|t|,[0.025,0.975]
DisplayName_George Odum,0.0238,3.473,0.007,0.995,-6.784,6.831
DisplayName_Gerald Everett,-2.9909,3.885,-0.77,0.441,-10.606,4.624
DisplayName_Gerald Hodges,-0.6625,4.501,-0.147,0.883,-9.484,8.159
DisplayName_Gerald McCoy,-8.2241,8.472,-0.971,0.332,-24.83,8.382
DisplayName_Geremy Davis,-1.7077,2.31,-0.739,0.46,-6.235,2.82
DisplayName_Germain Ifedi,2.8392,3.033,0.936,0.349,-3.105,8.783
DisplayName_Geron Christian,-0.4877,4.902,-0.099,0.921,-10.096,9.12
DisplayName_Geronimo Allison,-4.6089,2.432,-1.895,0.058,-9.375,0.157
DisplayName_Gimel President,12.2126,15.155,0.806,0.42,-17.49,41.915
DisplayName_Gino Gradkowski,-6.1944,5.928,-1.045,0.296,-17.813,5.424
DisplayName_Giovani Bernard,-7.1369,7.277,-0.981,0.327,-21.4,7.126
DisplayName_Glover Quin,2.2746,4.759,0.478,0.633,-7.053,11.602
DisplayName_Golden Tate,-5.6051,3.558,-1.575,0.115,-12.579,1.369
DisplayName_Grady Jarrett,-6.156,6.781,-0.908,0.364,-19.446,7.134
DisplayName_Graham Glasgow,-5.7811,1.614,-3.581,0.0,-8.945,-2.617
DisplayName_Grant Haley,-4.8072,1.848,-2.601,0.009,-8.43,-1.185
DisplayName_Greg Mabin,-5.4038,1.55,-3.486,0.0,-8.442,-2.365
DisplayName_Greg Mancz,-3.9996,1.847,-2.165,0.03,-7.62,-0.379
DisplayName_Greg Olsen,0.6601,1.091,0.605,0.545,-1.478,2.798
DisplayName_Greg Robinson,3.1612,8.567,0.369,0.712,-13.631,19.953
DisplayName_Greg Stroman,-6.7534,3.958,-1.706,0.088,-14.51,1.004
DisplayName_Greg Van Roten,-1.1521,2.494,-0.462,0.644,-6.04,3.736
DisplayName_Griff Whalen,-7.5275,5.314,-1.417,0.157,-17.943,2.888
DisplayName_Grover Stewart,-3.9386,4.273,-0.922,0.357,-12.314,4.437
DisplayName_Gus Edwards,-0.0142,3.62,-0.004,0.997,-7.11,7.082
DisplayName_Ha Ha Clinton-Dix,2.7718,5.728,0.484,0.628,-8.456,13.999
DisplayName_Haason Reddick,-0.2771,4.315,-0.064,0.949,-8.734,8.18
DisplayName_Hakeem Valles,-0.8326,2.251,-0.37,0.711,-5.245,3.579
DisplayName_Halapoulivaati Vaitai,-0.3926,5.258,-0.075,0.94,-10.699,9.914
DisplayName_Haloti Ngata,2.4219,2.893,0.837,0.403,-3.248,8.092
DisplayName_Hardy Nickerson,-0.7263,4.434,-0.164,0.87,-9.417,7.964
DisplayName_Harlan Miller,-9.5414,3.836,-2.487,0.013,-17.061,-2.022
DisplayName_Harold Landry,2.1177,8.277,0.256,0.798,-14.105,18.34
DisplayName_Harrison Phillips,-5.8015,6.431,-0.902,0.367,-18.406,6.803
DisplayName_Harrison Smith,2.7387,6.466,0.424,0.672,-9.934,15.412
DisplayName_Harry Douglas,-10.4658,7.656,-1.367,0.172,-25.471,4.54
DisplayName_Harvey Langi,20.399,10.877,1.875,0.061,-0.919,41.717
DisplayName_Hassan Ridgeway,-6.4132,7.003,-0.916,0.36,-20.138,7.312
DisplayName_Hau'oli Kikaha,-19.7205,23.207,-0.85,0.395,-65.206,25.765
DisplayName_Hayden Hurst,-3.0067,2.677,-1.123,0.261,-8.253,2.24
DisplayName_Hayes Pullard,-0.6843,4.441,-0.154,0.878,-9.389,8.021
DisplayName_Henry Anderson,-6.2655,8.057,-0.778,0.437,-22.057,9.526
DisplayName_Henry Krieger-Coble,-2.6036,3.913,-0.665,0.506,-10.274,5.066
DisplayName_Holton Hill,-4.9659,1.597,-3.109,0.002,-8.097,-1.835
DisplayName_Howard Jones,1.224,5.505,0.222,0.824,-9.565,12.013
DisplayName_Hroniss Grasu,-7.9185,2.852,-2.777,0.005,-13.508,-2.329
DisplayName_Hunter Henry,-0.9693,1.444,-0.671,0.502,-3.799,1.86
DisplayName_Hunter Sharp,-2.0232,3.363,-0.602,0.547,-8.615,4.569
DisplayName_Ian Silberman,-4.8291,3.43,-1.408,0.159,-11.552,1.893
DisplayName_Ian Thomas,2.0788,2.224,0.935,0.35,-2.28,6.437
DisplayName_Ibraheim Campbell,2.7947,5.718,0.489,0.625,-8.413,14.002
DisplayName_Ifeadi Odenigbo,-11.1029,20.023,-0.554,0.579,-50.348,28.142
DisplayName_Ifeanyi Momah,-1.5064,1.697,-0.887,0.375,-4.833,1.82
DisplayName_Ike Boettger,-1.5145,4.992,-0.303,0.762,-11.298,8.269
DisplayName_Isaac Rochell,-10.9331,13.739,-0.796,0.426,-37.861,15.995
DisplayName_Isaac Seumalo,-3.2636,3.137,-1.04,0.298,-9.413,2.886
DisplayName_Isaac Whitney,-0.857,2.843,-0.301,0.763,-6.428,4.714
DisplayName_Isaac Yiadom,-2.0094,2.936,-0.684,0.494,-7.764,3.746
DisplayName_Isaiah Crowell,-2.808,2.429,-1.156,0.248,-7.568,1.952
DisplayName_Isaiah Ford,-8.3536,5.029,-1.661,0.097,-18.21,1.503
DisplayName_Isaiah Irving,5.9742,9.333,0.64,0.522,-12.317,24.266
DisplayName_Isaiah Johnson,3.1437,5.327,0.59,0.555,-7.297,13.584
DisplayName_Isaiah McKenzie,-10.3961,9.587,-1.084,0.278,-29.186,8.394
DisplayName_Isaiah Oliver,-0.5339,5.106,-0.105,0.917,-10.541,9.473
DisplayName_Ito Smith,-11.6805,9.315,-1.254,0.21,-29.938,6.577
DisplayName_J'Marcus Webb,-1.3453,5.446,-0.247,0.805,-12.02,9.329
DisplayName_J'Mon Moore,-5.3847,2.596,-2.074,0.038,-10.473,-0.297
DisplayName_J.C. Jackson,-0.6782,3.268,-0.208,0.836,-7.084,5.727
DisplayName_J.D. McKissic,-11.4219,9.392,-1.216,0.224,-29.83,6.986
DisplayName_J.J. Jones,-14.6352,11.298,-1.295,0.195,-36.778,7.508
DisplayName_J.J. Nelson,-15.1542,13.172,-1.15,0.25,-40.971,10.662
DisplayName_J.J. Watt,-9.2847,11.583,-0.802,0.423,-31.988,13.418
DisplayName_J.J. Wilcox,4.7633,6.203,0.768,0.443,-7.395,16.922
DisplayName_J.R. Sweezy,-1.5523,1.271,-1.221,0.222,-4.044,0.939
DisplayName_JC Tretter,-3.193,2.588,-1.234,0.217,-8.265,1.879
DisplayName_Ja'Whaun Bentley,3.997,9.693,0.412,0.68,-15.0,22.994
DisplayName_Ja'Wuan James,-2.9494,3.315,-0.89,0.374,-9.446,3.548
DisplayName_Jabaal Sheard,-14.6791,17.009,-0.863,0.388,-48.016,18.658
DisplayName_Jabrill Peppers,3.9611,6.505,0.609,0.543,-8.788,16.71
DisplayName_Jace Billingsley,-7.0734,7.066,-1.001,0.317,-20.922,6.775
DisplayName_Jack Cichy,2.4134,8.095,0.298,0.766,-13.453,18.28
DisplayName_Jack Conklin,-3.6772,2.543,-1.446,0.148,-8.662,1.308
